X,Y,OBJECTID_1,OBJECTID,Name,Address,Postcode,Town,Type_,Comments
-6.95501507480311,55.038568122603252,164,175,Roe Park Resort,"40 Drumrane Road, Limavady, County Londonderry",BT49 9LB,Limavady,Hotel, 
-6.524089772287821,55.207137560824968,165,176,Bushmills Inn,"25 Main Street, Bushmills, County Antrim",BT57 8QA,Bushmills,Hotel, 
-6.489876740428214,55.072780397070126,166,177,Ballymoney Rugby Club,"63 Kilraughts Road, Ballymoney, County Antrim",BT53 7HL,Ballymoney,Social Club, 
-6.516924514117576,55.067716909344355,167,178,Ballymoney Utd Football and Social Club,"35 Castle Street, Ballymoney, County Antrim",BT53 6JT,Ballymoney,Social Club, 
-6.48455947879541,54.95943675623181,168,179,Mullaghans Bar,"53-55 Main Street, Rasharkin, County Antrim",BT44 8PX,Rasharkin,Pub, 
-6.481542311521254,54.956457003657931,169,180,Se Og's Bar,"15 Main Street, Rasharkin, County Antrim",BT44 8PT,Rasharkin,Pub, 
-6.483892311981104,54.958040449525164,170,181,The Diamond Bar,"40 Main Street, Rasharkin, County Antrim",BT44 8PU,Rasharkin,Pub, 
-6.333514055978176,54.999964327646765,171,182,The Corner House,"2 Culcrum Road, Cloughmills, County Antrim",BT44 9NH,Cloughmills,Pub, 
-6.321232394134142,55.057459879920643,172,183,Loughgiel Shamrocks Social Club,"10 Lough Road, Loughgiel, County Antrim",BT44 9JN,Loughgiel,Social Club, 
-6.467915061326029,55.122940563437773,173,184,North Irish House Inn Bar,"15 Carncullagh Road, Dervock, County Antrim",BT53 8BT,Dervock,Pub, 
-6.396830638758264,54.983894979037792,174,185,The Bridge Bar,"145 Bridge Road, Dunloy, County Antrim",BT44 9EQ,Dunloy,Pub, 
-6.411094542086371,55.010877127482992,175,186,The Village Inn,"1 Bellaghy Road, Dunloy, County Antrim",BT44 9AE,Dunloy,Pub, 
-6.514920917026663,55.070595744121789,176,187,The Tower Bar,"41 Church Street, Ballymoney, County Antrim",BT53 6HS,Ballymoney,Pub, 
-6.518621457661086,55.071919151715356,177,188,The Royal British Legion Club,"11 Townhead Street, Ballymoney, County Antrim",BT53 6BE,Ballymoney,Social Club, 
-6.438558507006102,55.078912767334515,178,189,Topp Orange Hall,"163 Gracehill Road, Stranocum, County Antrim",BT53 8LS,Stranocum,Social Club, 
-6.252186702061749,55.201343542523247,179,0,"Anzac Bar, Off Sales and Bistro","5 Market Street, Ballycastle, Co. Antrim",BT54 6DP,Ballycastle,Pub, 
